"Title","Board/channel","Description","Destination URL","UTM content","Status"
"Help desk homelab starter kit","Pinterest: Desk Setup Gear","The first IT lab should teach tickets, backups, ports, and recovery. Not how to bankrupt yourself on rack gear.","https://stackgeist.dev/kits/help-desk-homelab-starter-kit?utm_source=pinterest&utm_medium=organic&utm_campaign=income_kits&utm_content=helpdesk_homelab_starter","helpdesk_homelab_starter","draft"
"Help desk homelab starter kit","TikTok @stackgeist","The first IT lab should teach tickets, backups, ports, and recovery. Not how to bankrupt yourself on rack gear.","https://stackgeist.dev/kits/help-desk-homelab-starter-kit?utm_source=tiktok&utm_medium=organic&utm_campaign=income_kits&utm_content=helpdesk_homelab_starter","helpdesk_homelab_starter","draft"
"WGU software engineering desk kit","Pinterest: Desk Setup Gear","Build the desk around coding, calls, exams, and backups first. Decor can wait in the lobby.","https://stackgeist.dev/kits/wgu-software-engineering-desk-kit?utm_source=pinterest&utm_medium=organic&utm_campaign=income_kits&utm_content=wgu_swe_desk_kit","wgu_swe_desk_kit","draft"
"WGU software engineering desk kit","TikTok @stackgeist","Build the desk around coding, calls, exams, and backups first. Decor can wait in the lobby.","https://stackgeist.dev/kits/wgu-software-engineering-desk-kit?utm_source=tiktok&utm_medium=organic&utm_campaign=income_kits&utm_content=wgu_swe_desk_kit","wgu_swe_desk_kit","draft"
"USB-C desk survival kit","Pinterest: Desk Setup Gear","One known-good cable, one correct hub, one charger with headroom, and adapters for the old stuff.","https://stackgeist.dev/kits/usb-c-desk-survival-kit?utm_source=pinterest&utm_medium=organic&utm_campaign=income_kits&utm_content=usb_c_survival_kit","usb_c_survival_kit","draft"
"USB-C desk survival kit","TikTok @stackgeist","One known-good cable, one correct hub, one charger with headroom, and adapters for the old stuff.","https://stackgeist.dev/kits/usb-c-desk-survival-kit?utm_source=tiktok&utm_medium=organic&utm_campaign=income_kits&utm_content=usb_c_survival_kit","usb_c_survival_kit","draft"
"Budget video call kit","Pinterest: Desk Setup Gear","Camera height, front light, close audio, clean background. That order fixes more calls than a new laptop.","https://stackgeist.dev/kits/budget-video-call-kit?utm_source=pinterest&utm_medium=organic&utm_campaign=income_kits&utm_content=budget_video_call_kit","budget_video_call_kit","draft"
"Budget video call kit","TikTok @stackgeist","Camera height, front light, close audio, clean background. That order fixes more calls than a new laptop.","https://stackgeist.dev/kits/budget-video-call-kit?utm_source=tiktok&utm_medium=organic&utm_campaign=income_kits&utm_content=budget_video_call_kit","budget_video_call_kit","draft"
"Cheap desk upgrades under $100","Pinterest: Desk Setup Gear","Fix power, lighting, cable paths, reach, and small storage before replacing working hardware.","https://stackgeist.dev/kits/cheap-desk-upgrades-under-100?utm_source=pinterest&utm_medium=organic&utm_campaign=income_kits&utm_content=cheap_desk_under_100","cheap_desk_under_100","draft"
"Cheap desk upgrades under $100","TikTok @stackgeist","Fix power, lighting, cable paths, reach, and small storage before replacing working hardware.","https://stackgeist.dev/kits/cheap-desk-upgrades-under-100?utm_source=tiktok&utm_medium=organic&utm_campaign=income_kits&utm_content=cheap_desk_under_100","cheap_desk_under_100","draft"
